;Time;Thrust;Pressure1;Pressure2;Weight;Current;Voltage;Battery12V;Battery24V
0;0.0;-645;-323;-323;-645;-0.00018750572222052677;0.0;2.0846886196478165;3.560733664967803
1;0.01;-645;-323;-323;-645;-0.00037501144444105353;0.0;2.083938596758934;3.5616711935789054
2;0.03;28725;-1291;-1130;-645;0.0;-0.00018750572222052677;2.0846886196478165;3.5596086306344796
3;0.04;-645;-323;-323;-445;-0.00037501144444105353;-0.00018750572222052677;2.0869386883144627;3.561483687856685
4;0.06;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.0833760795922727;3.5584835963011567
5;0.07;28563;-1291;-323;-645;-0.00018750572222052677;0.0;2.0846886196478165;3.5597961363567
6;0.08;-645;-323;-1130;-445;0.0;-0.00018750572222052677;2.0867511825922422;3.5618586993011263
7;0.1;-645;-323;-323;-645;-0.00037501144444105353;0.0;2.087126194036683;3.5616711935789054
8;0.11;25659;-484;-323;-645;-0.00018750572222052677;0.0;2.0846886196478165;3.5605461592455825
9;0.12;-645;-484;-1291;-445;-0.00018750572222052677;-0.00018750572222052677;2.0833760795922727;3.560171147801141
10;0.14;-645;-323;-323;-645;0.0;-0.00018750572222052677;2.0850636310922575;3.56335874507889
11;0.15;12587;-323;-323;-645;-0.00018750572222052677;-0.00037501144444105353;2.084501113925596;3.5571710562456134
12;0.17;-645;-968;-1291;-445;-0.00018750572222052677;0.0;2.0878762169255656;3.5627962279122287
13;0.18;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.084876125370037;3.5624212164677878
14;0.19;-645;-323;-323;-645;-0.00037501144444105353;-0.00018750572222052677;2.0854386425366984;3.5612961821344644
15;0.21;27111;-1291;-1291;456;-0.00018750572222052677;-0.00037501144444105353;2.0860011597033603;3.564296273689993
16;0.22;-645;-323;-323;-645;0.0;-0.00018750572222052677;2.0841261024811546;3.5616711935789054
17;0.23;-645;-323;-323;-645;-0.00037501144444105353;-0.00018750572222052677;2.0858136539811394;3.552108401745659
18;0.25;28725;-1291;-1291;-645;-0.00018750572222052677;-0.00018750572222052677;2.0858136539811394;3.5654213080233164
19;0.26;-645;-323;-323;10167;-0.00018750572222052677;-0.00037501144444105353;2.087126194036683;3.5624212164677878
20;0.27;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.084501113925596;3.5571710562456134
21;0.29;28725;-1291;-968;-645;0.0;-0.00018750572222052677;2.0865636768700218;3.560358653523362
