;Wartoscmierzona;PomiarV;PomiarInt
0;5.794;0.4323881954405347;1708
1;5.794;0.4331382183294168;2307
2;5.794;0.43257570116275523;2308
3;5.794;0.4331382183294168;2311
4;5.794;0.4323881954405347;2153
5;5.794;0.43276320688497577;2308
6;5.794;0.4329507126071963;2313
7;5.794;0.4331382183294168;2307
8;5.794;0.3630110782189398;2022
9;5.794;0.4323881954405347;2311
10;5.794;0.43276320688497577;2310
11;5.794;0.43351322977385787;2310
12;5.794;0.43257570116275523;1708
13;5.794;0.4331382183294168;2310
14;5.794;0.43332572405163733;2312
15;5.794;0.4338882412182989;2307
16;5.794;0.4323881954405347;1710
17;5.794;0.4331382183294168;2309
18;5.794;0.43220068971831416;2310
19;5.794;0.43351322977385787;2312
20;0;-0.05306411938840907;-282
21;0;-0.053439130832850124;-280
22;0;-0.05306411938840907;-285
23;0;-0.0540016479995117;-362
24;0;-0.052876613666188545;-282
25;0;-0.05306411938840907;-283
26;0;-0.052876613666188545;-280
27;0;-0.053439130832850124;-343
28;0;-0.05362663655507065;-283
29;0;-0.05325162511062959;-286
30;0;-0.05175157933286539;-281
31;0;-0.05306411938840907;-289
32;0;-0.07143968016602069;-283
33;0;-0.05325162511062959;-285
34;0;-0.05325162511062959;-278
35;0;-0.05306411938840907;-286
36;0;-0.05418915372173223;-368
37;0;-0.05381414227729118;-286
38;0;-0.05325162511062959;-280
39;0;-0.05306411938840907;-284
40;4.5;0.29382146671956544;1562
41;4.5;0.29344645527512436;1558
42;4.5;0.2296945097201453;1501
43;4.5;0.29250892666402173;1565
44;4.5;0.2930714438306833;1563
45;4.5;0.29382146671956544;1568
46;4.5;0.29344645527512436;1559
47;4.5;0.26044544816431164;1343
48;4.5;0.29269643238624227;1567
49;4.5;0.29344645527512436;1566
50;4.5;0.29344645527512436;1564
51;4.5;0.2936339609973449;1508
52;4.5;0.22331931516464737;1565
53;4.5;0.2928839381084628;1565
54;4.5;0.29232142094180125;1565
55;4.5;0.29344645527512436;1565
56;4.5;0.29232142094180125;1246
57;4.5;0.2936339609973449;1566
58;4.5;0.2928839381084628;1565
59;4.5;0.2936339609973449;1561
