;Wartoscmierzona;PomiarV;PomiarInt
0;0;-0.052876613666188545;-269
1;0;-0.05137656788842433;-288
2;0;-0.06787707144383069;-358
3;0;-0.06750205999938963;-277
4;0;-0.05062654499954222;-280
5;0;-0.06056434827723014;-361
6;0;-0.06675203711050752;-342
7;0;-0.05250160222174749;-269
8;0;-0.05306411938840907;-291
9;0;-0.0693771172215949;-358
10;0;-0.06712704855494858;-361
11;0;-0.052126590777306435;-274
12;0;-0.052689107943968014;-284
13;0;-0.07050215155491807;-357
14;0;-0.06693954283272804;-298
15;0;-0.05137656788842433;-271
16;0;-0.05175157933286539;-272
17;0;-0.06225189977721488;-359
18;0;-0.06768956572161015;-359
19;0;-0.06112686544389172;-284
20;5.794;0.3335726798303171;2313
21;5.794;0.4338882412182989;2308
22;5.794;0.43070064394054997;1694
23;5.794;0.3204472792748802;1707
24;5.794;0.3866367992187262;2318
25;5.794;0.43426325266273996;2311
26;5.794;0.36919876705221716;1711
27;5.794;0.3208222907193213;1711
28;5.794;0.43426325266273996;2330
29;5.794;0.43351322977385787;2307
30;5.794;0.33057258827478864;1710
31;5.794;0.3213848078859829;1713
32;5.794;0.4338882412182989;2326
33;5.794;0.43651332132938625;2313
34;5.794;0.4331382183294168;1946
35;5.794;0.32063478499710074;1712
36;5.794;0.3204472792748802;2260
37;5.794;0.4352007812738426;2322
38;5.794;0.43370073549607835;2305
39;5.794;0.318947233497116;1710
40;5.794;0.3200722678304392;1710
41;5.794;0.4338882412182989;2312
42;5.794;0.434638264107181;2308
43;5.794;0.43220068971831416;1712
44;5.794;0.3208222907193213;2313
45;5.794;0.4338882412182989;2322
46;5.794;0.43370073549607835;2305
47;5.794;0.3172596819971313;1710
48;5.794;0.32157231360820343;2303
49;5.794;0.4329507126071963;2322
50;5.794;0.43426325266273996;2312
51;5.794;0.43276320688497577;1706
52;5.794;0.3210097964415418;1714
53;5.794;0.37913657032990505;2310
54;5.794;0.4348257698294015;2313
55;5.794;0.43332572405163733;2302
56;5.794;0.31838471633045445;1712
57;5.794;0.3208222907193213;1710
58;5.794;0.43276320688497577;2314
59;5.794;0.434638264107181;2316
60;0;-0.053439130832850124;-272
61;0;-0.052689107943968014;-284
62;0;-0.06825208288827174;-357
63;0;-0.06787707144383069;-278
64;0;-0.05137656788842433;-274
65;0;-0.05231409649952696;-364
66;0;-0.06750205999938963;-359
67;0;-0.052689107943968014;-274
68;0;-0.0504390392773217;-275
69;0;-0.052689107943968014;-291
70;0;-0.06750205999938963;-362
71;0;-0.0673145542771691;-342
72;0;-0.052689107943968014;-274
73;0;-0.05156407361064486;-283
74;0;-0.05306411938840907;-364
75;0;-0.06712704855494858;-357
76;0;-0.06112686544389172;-285
77;0;-0.05137656788842433;-278
78;0;-0.05306411938840907;-283
79;0;-0.05756425672170171;-360
80;4.5;0.2953215124973297;1563
81;4.5;0.29250892666402173;1096
82;4.5;0.20850636310922574;1131
83;4.5;0.29419647816400646;1571
84;4.5;0.29457148960844753;1563
85;4.5;0.25257020783104955;1112
86;4.5;0.20831885738700523;1568
87;4.5;0.29475899533066807;1576
88;4.5;0.29382146671956544;1563
89;4.5;0.20775634022034364;1111
90;4.5;0.2081313516647847;1564
91;4.5;0.2949465010528886;1572
92;4.5;0.2930714438306833;1558
93;4.5;0.25894540238654745;1111
94;4.5;0.20831885738700523;1190
95;4.5;0.2940089724417859;1568
96;4.5;0.29625904110843226;1575
97;4.5;0.2930714438306833;1562
98;4.5;0.24844508194219794;1110
99;4.5;0.20850636310922574;1182
100;0;-0.052876613666188545;-339
101;0;-0.06787707144383069;-359
102;0;-0.05325162511062959;-278
103;0;-0.05100155644398328;-283
104;0;-0.05418915372173223;-362
105;0;-0.06712704855494858;-313
106;0;-0.05156407361064486;-273
107;0;-0.05156407361064486;-282
108;0;-0.059814325388348036;-360
109;0;-0.06787707144383069;-281
110;0;-0.05193908505508591;-277
111;0;-0.052126590777306435;-290
112;0;-0.06843958861049226;-361
113;0;-0.06787707144383069;-342
114;0;-0.05193908505508591;-284
115;0;-0.05175157933286539;-279
116;0;-0.05250160222174749;-285
117;0;-0.06431446272164067;-359
118;0;-0.06693954283272804;-361
119;0;-0.05193908505508591;-283
120;5.794;0.3671362041077914;1710
121;5.794;0.3204472792748802;1974
122;5.794;0.43426325266273996;2311
123;5.794;0.3181972106082339;1706
124;5.794;0.3204472792748802;2312
125;5.794;0.434638264107181;2313
126;5.794;0.4329507126071963;2299
127;5.794;0.3204472792748802;1709
128;5.794;0.32025977355265967;2203
129;5.794;0.4344507583849605;2314
130;5.794;0.4331382183294168;2305
131;5.794;0.31950975066377757;1709
132;5.794;0.3208222907193213;1818
133;5.794;0.434638264107181;2318
134;5.794;0.4344507583849605;2314
135;5.794;0.43370073549607835;1699
136;5.794;0.3210097964415418;1712
137;5.794;0.3210097964415418;2029
138;5.794;0.4348257698294015;2318
139;5.794;0.4348257698294015;2311
140;4.5;0.294383983886227;1568
141;4.5;0.2928839381084628;1107
142;4.5;0.2081313516647847;1112
143;4.5;0.29344645527512436;1570
144;4.5;0.29457148960844753;1568
145;4.5;0.2930714438306833;1095
146;4.5;0.20850636310922574;1111
147;4.5;0.29382146671956544;1573
148;4.5;0.29550901821955017;1564
149;4.5;0.2930714438306833;1590
150;4.5;0.20794384594256415;1108
151;4.5;0.20869386883144628;1552
152;4.5;0.2940089724417859;1574
153;4.5;0.2936339609973449;1564
154;4.5;0.24713254188665426;1109
155;4.5;0.20794384594256415;1132
156;4.5;0.29419647816400646;1577
157;4.5;0.29475899533066807;1567
158;4.5;0.29419647816400646;1559
159;4.5;0.20719382305368206;1112
